sample_id,SLOT_MAIN_LENGTH,SLOT_MAIN_HEIGHT,PATCH_BRICK_1_SIDE_MARGIN,PATCH_BRICK_1_TOP_MARGIN,PATCH_BRICK_3_BOTTOM_MARGIN,PATCH_BRICK_2_HEIGHT_MARGIN,PATCH_BRICK_4_MARGIN,UPPER_CORNER_NOTCH_1_K1,UPPER_CORNER_NOTCH_1_K2,UPPER_CORNER_EAR_1_K1,UPPER_CORNER_EAR_1_K2,LOWER_CORNER_NOTCH_1_K1,LOWER_CORNER_NOTCH_1_K2,LOWER_CORNER_EAR_1_K1,LOWER_CORNER_EAR_1_K2,LOWER_CORNER_EAR_2_K1,LOWER_CORNER_EAR_2_K2,BRANCH_UP_1_K,BRANCH_UP_1_K2,BRANCH_UP_1_K3,BRANCH_DOWN_1_K,BRANCH_DOWN_1_K2,BRANCH_DOWN_1_K3,geometry_valid,geometry_error,final_conductor_components,allowed_bottom_y_mm,bottom_contact_pairs,non_bottom_intersection,non_bottom_intersection_pairs,non_bottom_crossing_pairs,non_bottom_overlapping_pairs,non_bottom_touching_pairs,non_bottom_intersection_details,intersection_check_completed,intersection_check_error,doe_rejection_reason,doe_eligible,doe_source
9,35.164509009016641,1.0386008398010307,4.6381878545531015,3.1439329855846263,2.612279432025554,7.684911087951467,2.5621806213732636,0.4817810224470146,0.47009462399521146,0.5054798915797053,0.36447165069156917,0.99387086850987072,0.0040645622403423926,0.26490549669589669,0.81344488948781546,0.03467731336450728,0.11817929640415484,0.75083588671555246,0.47048201022936087,0.32000268997236275,0.60036270918612633,0.69345542351411793,0.35868530287922251,False,ValueError: producer reported invalid exported polygon(s): Patch,,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 20.21, 0 20.21), (0 20.21, -0.5 20.21))""}}",True,,ValueError: producer reported invalid exported polygon(s): Patch,False,lhs
59,52.996563886566499,2.7763767379412934,6.4091961044532928,3.0128576147863457,2.7946253286751519,11.865271247724017,4.6102536011500765,0.064628469121297633,0.95954139548861117,0.10701144564346421,0.66708808146749465,0.092382395339451126,0.31065454408495791,0.68586560218049608,0.062372273902906297,0.4759669900632868,0.001084123717185327,0.96379424445149187,0.48519209895432985,0.78703405127218373,0.88447186968443681,0.90443371781298754,0.27617872506846447,False,ValueError: producer reported invalid exported polygon(s): Patch,,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 24.18, 0 24.18), (0 24.18, -0.5 24.18))""}}",True,,ValueError: producer reported invalid exported polygon(s): Patch,False,lhs
61,54.417522035462071,2.5986627378860478,8.3486597268091067,1.5642270352991168,2.8456681114492781,19.098003433939461,2.6665228210499339,0.78025901628595906,0.19513927949302648,0.22921265432928348,0.015498363990191423,0.016077905099181989,0.073380762306416047,0.43149133556473129,0.22281289990161521,0.0074245238826348356,0.66980207551456372,0.76200644349165059,0.099684206422443439,0.48561471021856317,0.5482123165818058,0.14779851457044776,0.58485651599544553,False,ValueError: producer reported invalid exported polygon(s): Patch,,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22.11, 0 22.11), (0 22.11, -0.5 22.11))""}}",True,,ValueError: producer reported invalid exported polygon(s): Patch,False,lhs
102,39.94555488096848,2.6290509173627141,4.6625582312648923,1.6847187784280597,2.4471516721272475,13.134460173819647,3.911567839006012,0.81235005965393414,0.7720969688417636,0.079821878992605538,0.62165023615319948,0.00068875848572760184,0.69305077898366851,0.12085682022150632,0.43715051575731595,0.7815918745124607,0.87873208214824072,0.65365860744235993,0.089449456136450931,0.20972597735758985,0.29394176442624648,0.054146820860043049,0.2773854623094455,False,ValueError: producer reported invalid exported polygon(s): Patch,,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22.98, 0 22.98), (0 22.98, -0.5 22.98))""}}",True,,ValueError: producer reported invalid exported polygon(s): Patch,False,lhs
134,50.69506795727132,2.8737995570282679,3.0828089825109379,1.826525915216473,1.4809159376507843,18.375031051034057,4.9431027055052468,0.67026160944319224,0.025056633983171712,0.28576158095501381,0.46335678557318766,0.85228648450693556,0.056862795162267582,0.53230215751841803,0.99298691591203536,0.15172928857831497,0.1775741171025908,0.34513350314633462,0.92881150439161153,0.37121981936298765,0.22466005378434348,0.8898059325823422,0.53248346531525748,False,ValueError: producer reported invalid exported polygon(s): Patch,,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 23.3, 0 23.3), (0 23.3, -0.5 23.3))""}}",True,,ValueError: producer reported invalid exported polygon(s): Patch,False,lhs
147,50.647434132005586,1.9032688542396867,7.7002440267396581,1.5188634110251493,2.3746787081099194,10.391288315581702,2.3841498692399536,0.26026634691382766,0.23894235114571855,0.86410909235156486,0.82453347541902899,0.17515622330040584,0.13672675240949964,0.051618446984769147,0.99841279087616608,0.67275908940641893,0.71959012843949344,0.65914220990145589,0.31775025878930074,0.54895531525605579,0.4399546788578737,0.56794408204530811,0.85585748371316694,False,ValueError: producer reported invalid exported polygon(s): Patch,,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 20.66, 0 20.66), (0 20.66, -0.5 20.66))""}}",True,,ValueError: producer reported invalid exported polygon(s): Patch,False,lhs
186,59.369451713882533,2.0823563682142305,6.6649511659937115,1.8585107006618016,1.1705341963633007,15.782091884812315,5.211570772262144,0.9401726949563004,0.42803968147577759,0.78846459275554426,0.89611599109264961,0.3357311021803015,0.78441215387817098,0.99974307673297236,0.33586992845705727,0.75298817221592973,0.34568663455260451,0.1195685023894341,0.90579857705599109,0.1767447251522126,0.83564274026199703,0.76134611658663998,0.68634456264784061,False,ValueError: producer reported invalid exported polygon(s): Patch,,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 22.46, 0 22.46), (0 22.46, -0.5 22.46))""}}",True,,ValueError: producer reported invalid exported polygon(s): Patch,False,lhs
203,15.102191747988636,2.3983205608134806,4.0127877685810933,3.6055128497244402,2.0531853911600249,11.549541796907317,5.6585815046039549,0.8560066767355613,0.15505883780144272,0.69292603288280608,0.077384342319907762,0.3545842129103412,0.62443287306334216,0.90857034454967545,0.0037614046128590642,0.0016968066446973308,0.19849512214954573,0.08698827837751566,0.54418900875512277,0.007216610591572541,0.59426865974320986,0.52792839334721953,0.94633687822755497,False,ValueError: producer reported invalid exported polygon(s): Patch,,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 24.11, 0 24.11), (0 24.11, -0.5 24.11))""}}",True,,ValueError: producer reported invalid exported polygon(s): Patch,False,lhs
221,18.684656509635225,2.2590325088161123,4.7432706980973371,3.3558328317478816,2.7813273633271085,20.54814752012053,2.10337849683635,0.8943867382241717,0.17153009201857944,0.20063916091786441,0.5769430265034361,0.24723455880838582,0.46772112968462143,0.91305420665633319,0.91943624039016536,0.25543903184794209,0.57194917682306323,0.1993512617065554,0.64627955644798052,0.12787766226953598,0.00063712066287708582,0.78458658807776682,0.058505015623733767,False,ValueError: producer reported invalid exported polygon(s): Slot,,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__CPW_Feed_Pin,,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 21.14, 0 21.14), (0 21.14, -0.5 21.14))""}}",True,,ValueError: producer reported invalid exported polygon(s): Slot,False,lhs
260,44.025960517869187,2.3777316154007515,5.3312880579429471,2.5362791325861398,1.3018136051921223,8.9547833592278536,3.2176900788892064,0.82929251967718343,0.77936202391620091,0.92734706371199671,0.11419220108520232,0.73296738319000077,0.60656678185070279,0.080174955189228472,0.11513865051515473,0.98087322563349699,0.35396443267811745,0.98222316855112413,0.75866728367875158,0.54563611317857486,0.48493662434114754,0.54617149677441101,0.94161777253590262,True,,1,0,Slot__Patch;Slot__CPW_Feed_Pin;Patch__CPW_Feed_Pin,True,Slot__Patch;Slot__CPW_Feed_Pin,Slot__Patch,Slot__CPW_Feed_Pin,,"{""Slot__CPW_Feed_Pin"": {""geometry_type"": ""MultiLineString"", ""relations"": ""overlaps"", ""wkt"": ""MULTILINESTRING ((0.5 20.9, 0 20.9), (0 20.9, -0.5 20.9))""}, ""Slot__Patch"": {""geometry_type"": ""MultiPoint"", ""relations"": ""crosses"", ""wkt"": ""MULTIPOINT ((-13.280000000000001 8.71), (-11.97 8.71), (11.97 8.71), (13.280000000000001 8.71))""}}",True,,unexpected non-bottom curve intersection: Slot__Patch,False,lhs
