sample_id,SLOT_MAIN_LENGTH,SLOT_MAIN_HEIGHT,PATCH_BRICK_1_SIDE_MARGIN,PATCH_BRICK_1_TOP_MARGIN,PATCH_BRICK_3_BOTTOM_MARGIN,PATCH_BRICK_2_HEIGHT_MARGIN,PATCH_BRICK_4_MARGIN,UPPER_CORNER_NOTCH_1_K1,UPPER_CORNER_NOTCH_1_K2,UPPER_CORNER_EAR_1_K1,UPPER_CORNER_EAR_1_K2,LOWER_CORNER_NOTCH_1_K1,LOWER_CORNER_NOTCH_1_K2,LOWER_CORNER_EAR_1_K1,LOWER_CORNER_EAR_1_K2,LOWER_CORNER_EAR_2_K1,LOWER_CORNER_EAR_2_K2,BRANCH_UP_1_K,BRANCH_UP_1_K2,BRANCH_UP_1_K3,BRANCH_DOWN_1_K,BRANCH_DOWN_1_K2,BRANCH_DOWN_1_K3,geometry_valid,geometry_error,final_conductor_components
0,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.93367211855890042,0.29008095779140819,0.15182137718101524,0.5,0.5,0,True,,1
1,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.13444867350718126,0.13529917125425875,0.88847240544197315,0.5,0.5,0,True,,1
2,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.65776950374574894,0.60691333204244791,0.98665347469489662,0.5,0.5,0,True,,1
3,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.97086344233300392,0.11629798879841166,0.43632216374185118,0.5,0.5,0,True,,1
4,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.87369982331936091,0.95671027948804865,0.13187480018748632,0.5,0.5,0,True,,1
5,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.23522434320797286,0.46310188949966996,0.36239458820734466,0.5,0.5,0,True,,1
6,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.57906248983898367,0.7790504603649322,0.20530190594395797,0.5,0.5,0,True,,1
7,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.93967281502893496,0.46167858997954087,0.57580862241263686,0.5,0.5,0,True,,1
8,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.081573483922549997,0.58038699054820064,0.57930963618120446,0.5,0.5,0,True,,1
9,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.89524380958356331,0.91291012296449359,0.95059011325939557,0.5,0.5,0,True,,1
10,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.64707990820776262,0.4748132599091327,0.68604909035930695,0.5,0.5,0,True,,1
11,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.99237607315199738,0.067968308280966019,0.3293685752517439,0.5,0.5,0,True,,1
12,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.12802715641708801,0.6241373596212948,0.46340340277422964,0.5,0.5,0,True,,1
13,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.27553199408641005,0.44923086149599301,0.9352263448670789,0.5,0.5,0,True,,1
14,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.15555970554406684,0.3695642969212416,0.21749002196246692,0.5,0.5,0,True,,1
15,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.13881456757990684,0.08213112240144374,0.64477273231641041,0.5,0.5,0,True,,1
16,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.95756695808692827,0.80125990312600426,0.93899654001569965,0.5,0.5,0,True,,1
17,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.40030879583483553,0.17863535107533196,0.27120675974924874,0.5,0.5,0,True,,1
18,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.63324757184386027,0.26253275989422492,0.38439051305506017,0.5,0.5,0,True,,1
19,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.55270558370913769,0.96386539463958576,0.41538379752048094,0.5,0.5,0,True,,1
20,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.52627962915184756,0.92756380642636105,0.31618987320932906,0.5,0.5,0,True,,1
21,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.090579604753480925,0.86774632613903546,0.77114109263169572,0.5,0.5,0,True,,1
22,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.70299746708726873,0.38987394004214482,0.66004230417815402,0.5,0.5,0,True,,1
23,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.94078891641836526,0.75578823173633103,0.94224538406219016,0.5,0.5,0,True,,1
24,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.52897009902713943,0.35725197401728542,0.9114737695644568,0.5,0.5,0,True,,1
25,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.96987141167789936,0.12411438577564918,0.53458001992086368,0.5,0.5,0,True,,1
26,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.44893427899108157,0.53667210381500574,0.19083377113837557,0.5,0.5,0,True,,1
27,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.83234667628284498,0.09534877715234065,0.91915711599033223,0.5,0.5,0,True,,1
28,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.91454465725303646,0.24170023572316596,0.9298608467249494,0.5,0.5,0,True,,1
29,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.21871839926850906,0.82944739670233347,0.96006719445670696,0.5,0.5,0,True,,1
30,53,2,6,2.6000000000000001,2,15,4,0.61818181818181817,0.93333333333333335,0.41176470588235292,0.071428571428571425,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.49215107190467766,0.63858231198907744,0.48933846955145727,0.5,0.5,0,True,,1
