sample_id,SLOT_MAIN_LENGTH,SLOT_MAIN_HEIGHT,PATCH_BRICK_1_SIDE_MARGIN,PATCH_BRICK_1_TOP_MARGIN,PATCH_BRICK_3_BOTTOM_MARGIN,PATCH_BRICK_2_HEIGHT_MARGIN,PATCH_BRICK_4_MARGIN,UPPER_CORNER_NOTCH_1_K1,UPPER_CORNER_NOTCH_1_K2,UPPER_CORNER_EAR_1_K1,UPPER_CORNER_EAR_1_K2,LOWER_CORNER_NOTCH_1_K1,LOWER_CORNER_NOTCH_1_K2,LOWER_CORNER_EAR_1_K1,LOWER_CORNER_EAR_1_K2,LOWER_CORNER_EAR_2_K1,LOWER_CORNER_EAR_2_K2,BRANCH_UP_1_K,BRANCH_UP_1_K2,BRANCH_UP_1_K3,BRANCH_DOWN_1_K,BRANCH_DOWN_1_K2,BRANCH_DOWN_1_K3
256,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.02,0.3,0.5,0.5,0.5,0
257,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.15714285714285714,0.3,0.5,0.5,0.5,0
258,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.2942857142857143,0.3,0.5,0.5,0.5,0
259,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.4314285714285715,0.3,0.5,0.5,0.5,0
260,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.43481162623355263,0.3,0.5,0.5,0.5,0
261,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.44981162623355264,0.3,0.5,0.5,0.5,0
262,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.45881162623355265,0.3,0.5,0.5,0.5,0
263,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.47081162623355266,0.3,0.5,0.5,0.5,0
264,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.47981162623355267,0.3,0.5,0.5,0.5,0
265,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.4948116262335527,0.3,0.5,0.5,0.5,0
266,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.5685714285714286,0.3,0.5,0.5,0.5,0
267,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.7057142857142857,0.3,0.5,0.5,0.5,0
268,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.8301823773300439,0.3,0.5,0.5,0.5,0
269,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.842857142857143,0.3,0.5,0.5,0.5,0
270,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.8451823773300439,0.3,0.5,0.5,0.5,0
271,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.8541823773300439,0.3,0.5,0.5,0.5,0
272,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.8661823773300439,0.3,0.5,0.5,0.5,0
273,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.8751823773300439,0.3,0.5,0.5,0.5,0
274,53,2,6,2.6,2,15,4,0.618181818181818,0.9333333333333332,0.4117647058823529,0.0714285714285714,0.7745454545454545,0.7058823529411765,0.2347417840375586,0.6666666666666666,0.2453987730061349,0.25,0.8901823773300439,0.3,0.5,0.5,0.5,0
